Tweet,Label
"RT @Twitter-handle: Sis, it’s Friday. Don’t let nothinggggggg or nobody stress you out today! 💕",happiness
RT @Twitter-handle: @Twitter-handle: @Twitter-handle: @Twitter-handle: Great job Chanel! Apparently you are far better at investigating than Mueller was and he…,anger
RT @Twitter-handle: Another hatke virgin Mobile ad😍😂 URL,happiness
RT @Twitter-handle: Prehnite is such a cool crystal because of its inclusions of both Epidote and Black Tourmaline!🤍🫶🏼 This gorgeous large P…,happiness
RT @Twitter-handle: Reasons why I’m not worried 1. God,neutral
"Hey, my soul's mate! 👫 URL",happiness
RT @Twitter-handle: @Twitter-handle: Tumko pata toh h kon h ye... just handover the award to them😌 #arylie URL,neutral
"RT @Twitter-handle: ""My ice cube has been melting for 40 years and was predicted to be gone ten years ago, it just happens to be really large…",neutral
@Twitter-handle: Agreed,neutral
@Twitter-handle: How’s that book coming?,neutral
"RT @Twitter-handle: ""are you grumpy today?"" and brian not hugging him 😭😭 they're still in character",sadness
@Twitter-handle: i caught it today too.,neutral
"RT @Twitter-handle: Moriah Mills, it has been 3 business days URL",neutral
RT @Twitter-handle: We wrapped up our summer kids camp today in Renco! It was a blast teaching the youth about our great sport! 🏀 #BeBold #BeBr…,happiness
RT @Twitter-handle: @Twitter-handle: Happy release day mate!!!,happiness
"3 parklife tickets left , £100 each",neutral
Economy organization see weight. #迷药 #体育生 #催情药 URL,neutral
@Twitter-handle: congrats!,happiness
@Twitter-handle: Abortion is healthcare.👍,neutral
@Twitter-handle: You too 💜,happiness
"Hey! Here's my new song ""Surrender"". Hoping you all enjoy it, I have some other exciting stuff coming very soon! L… URL",happiness
@Twitter-handle: Canadians,neutral
RT @Twitter-handle: ‘We may never know who destroyed the dam’ The last night on @Twitter-handle: the channel’s international editor @Twitter-handle: said: ‘w…,neutral
@Twitter-handle: YESSSSSSSS!!! SO HYPED!,happiness
"RT @Twitter-handle: Canes Connection is thrilled to announce our relationship with Donald Chaney, Jr. Welcome to the team, Donald! 🙌🏻 @Twitter-handle:",happiness
RT @Twitter-handle: Lmao what are the finance bros gonna do now??,disgust
Feeling good 💗~,happiness
"RT @Twitter-handle: Ubisoft Forward Sale Is Live With Stellar Deals On Far Cry, Assassin's Creed, And More URL URL",neutral
RT @Twitter-handle: How many of you believe these words are true?,neutral
"RT @Twitter-handle: The Lowenstein Clinic’s legal analysis: 🇪🇹’s Responsibility for Starvation in #Tigray,” found that 🇪🇹 &amp; its allies committe…",anger
RT @Twitter-handle: Johnny definitely is 40% laughter of Doyoung’s life URL,happiness
@Twitter-handle: Your whole family is so delusional,anger
@Twitter-handle: @Twitter-handle: Thanks Tom. I remember it being talked about some then. This is helpful. I’m revisiting becau… URL,neutral
